2015-05-10 19:34:18,568 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kannada:kannada:0.0.1-SNAPSHOT @ E:\kannada-web\kannada\pom.xml.
2015-05-10 19:34:21,998 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /kannada/src
2015-05-10 19:34:21,998 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /kannada/src/test/java because it overlaps with /kannada/src
2015-05-10 19:34:22,811 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-05-10 19:34:22,857 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kannada:kannada:0.0.1-SNAPSHOT @ E:\kannada-web\kannada\pom.xml.
2015-05-10 19:34:23,016 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-10 19:34:23,016 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\kannada-web\kannada\src\main\resources
2015-05-10 19:34:23,032 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-10 19:34:23,032 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\kannada-web\kannada\src\test\resources
2015-05-10 19:34:23,188 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kannada:kannada:0.0.1-SNAPSHOT @ E:\kannada-web\kannada\pom.xml.
2015-05-10 19:34:23,469 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /kannada/src
2015-05-10 19:34:23,469 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /kannada/src/test/java because it overlaps with /kannada/src
2015-05-10 19:34:23,886 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kannada:kannada:0.0.1-SNAPSHOT @ E:\kannada-web\kannada\pom.xml.
2015-05-10 19:34:23,964 [Worker-7] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for kannada
2015-05-10 19:34:24,027 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2015-05-10 19:34:24,136 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
